Date,Time,OrderId,BuySell,Scrip,Close,OrderPrice,OrderQty,SLPrice,TargetPrice,Status,AvgPrice,FilledQty,CancelledQty
2017-08-28,12:02:21,170828000469051,s,ADANIPORTS,380.05,0,0,391.72850000000005,380.093,COMPLETE,387.9,1,0
2017-08-28,12:02:21,170828000469051,s,ADANIPORTS,380.05,0,0,391.72850000000005,380.093,COMPLETE,387.9,1,0
2017-08-28,12:59:31,170828000573203,s,ADANIPORTS,380.05,0,0,391.72850000000005,380.093,COMPLETE,387.85,1,0
2017-08-30,09:30:42,170830000121262,s,HINDALCO,227.3,0,0,239.168,232.064,COMPLETE,232,1,0
2017-08-30,09:30:42,170830000121262,s,HINDALCO,227.3,0,0,239.168,232.064,COMPLETE,232,1,0
2017-08-30,12:05:33,170830000522899,b,HINDALCO,227.3,0,0,239.168,232.064,COMPLETE,236.8,1,0
2017-08-31,10:08:22,170831000272292,s,IOC,452.85,0,0,456.924,443.352,COMPLETE,462.3,1,0
2017-08-31,10:08:22,170831000272292,s,IOC,452.85,0,0,456.924,443.352,COMPLETE,462.3,1,0
2017-08-31,13:52:31,170831000759445,b,IOC,452.85,0,0,456.924,443.352,COMPLETE,452.4,1,0
2017-09-01,10:51:53,170901000426584,s,GAIL,378.3,0,0,391.8295,380.191,COMPLETE,387.95,5,0
2017-09-04,10:24:15,170904000321521,s,COALINDIA,238.65,0,41,248.6115,241.227,COMPLETE,243.7,41,0
2017-09-04,10:24:15,170904000321521,s,COALINDIA,238.65,0,41,248.6115,241.227,COMPLETE,243.7,41,0
2017-09-04,14:09:17,170904000848348,b,COALINDIA,238.65,0,0,248.6115,241.227,COMPLETE,246.15,41,0
2017-09-13,10:02:20,170913000288497,s,TATAPOWER,81.0,0,232,86.9105,84.329,COMPLETE,86.05,232,0
2017-09-21,10:03:29,170921000307657,s,DRREDDY,2314.7,0,8,2516.213,2441.474,COMPLETE,2457.85,8,0
2017-09-21,10:03:29,170921000307657,s,DRREDDY,2314.7,0,8,2516.213,2441.474,COMPLETE,2457.85,8,0
2017-09-21,10:05:33,170921000319594,b,DRREDDY,2314.7,0,0,2516.213,2441.474,COMPLETE,2412.025,8,0
2017-09-21,10:03:29,170921000307657,s,DRREDDY,2314.7,0,8,2516.213,2441.474,COMPLETE,2457.85,8,0
2017-09-21,10:05:33,170921000319594,b,DRREDDY,2314.7,0,0,2516.213,2441.474,COMPLETE,2412.025,8,0
2017-09-21,10:07:36,170921000333962,b,DRREDDY,2314.7,0,0,2516.213,2441.474,COMPLETE,2439.3,8,0
2017-09-21,10:03:29,170921000307657,s,DRREDDY,2314.7,0,8,2516.213,2441.474,COMPLETE,2457.85,8,0
2017-09-21,10:05:33,170921000319594,b,DRREDDY,2314.7,0,0,2516.213,2441.474,COMPLETE,2412.025,8,0
2017-09-21,10:07:36,170921000333962,b,DRREDDY,2314.7,0,0,2516.213,2441.474,COMPLETE,2439.3,8,0
2017-09-21,13:38:10,170921000859852,b,DRREDDY,2314.7,0,0,2516.213,2441.474,COMPLETE,2465.5,8,0
2017-09-21,10:03:29,170921000307657,s,DRREDDY,2314.7,0,8,2516.213,2441.474,COMPLETE,2457.85,8,0
2017-09-21,10:05:33,170921000319594,b,DRREDDY,2314.7,0,0,2516.213,2441.474,COMPLETE,2412.025,8,0
2017-09-21,10:07:36,170921000333962,b,DRREDDY,2314.7,0,0,2516.213,2441.474,COMPLETE,2439.3,8,0
2017-09-21,13:38:10,170921000859852,b,DRREDDY,2314.7,0,0,2516.213,2441.474,COMPLETE,2465.5,8,0
2017-09-21,15:16:28,170921001081517,b,DRREDDY,2314.7,0,0,2516.213,2441.474,COMPLETE,2491.3,8,0
